,Train Loss,Validation Loss,Test Loss,Train Accuracy,Validation ACC,Test ACC,Train Precision,Validation Precision,Test Precision,Train Recall,Validation Recall,Test Recall,Train F1-Score,Validation F1-Score,Test F1-Score
Normal CNN,0.01,0.29,0.21,1.0,0.93,0.94,1.0,0.93,0.94,1.0,0.92,0.93,1.0,0.93,0.94
VGG19,0.03,0.06,0.03,0.99,0.98,0.98,0.99,0.98,0.98,0.99,0.98,0.98,0.99,0.98,0.98
MobileNetV2,0.4,0.49,0.45,0.97,0.95,0.96,0.99,0.98,0.98,0.83,0.77,0.82,0.9,0.86,0.89
DenseNet,0.82,0.9,0.88,0.96,0.95,0.95,0.99,0.99,0.99,0.51,0.48,0.47,0.67,0.64,0.64
